Timestamp,Status,Upstream,Downstream,Difference
2026-03-16 15:45:28,🚨 FULL BLOCKAGE,22.45,31.68,9.23
2026-03-16 15:49:06,🚨 FULL BLOCKAGE,22.45,24.95,2.5
2026-03-16 15:49:41,🚨 FULL BLOCKAGE,22.45,25.48,3.030000000000001
2026-03-16 15:51:48,🚨 FULL BLOCKAGE,22.45,25.26,2.8100000000000023
2026-03-16 15:51:51,🚨 FULL BLOCKAGE,22.45,25.67,3.2200000000000024
2026-03-16 15:57:21,🚨 FULL BLOCKAGE,22.45,35.09,12.640000000000004
2026-03-16 15:59:48,🚨 FULL BLOCKAGE,22.45,27.66,5.210000000000001
2026-03-16 16:33:00,🚨 FULL BLOCKAGE,139.64,20.32,119.32
2026-03-16 16:33:06,🚨 FULL BLOCKAGE,61.53,20.32,41.21
2026-03-16 16:33:11,🚨 FULL BLOCKAGE,61.55,20.32,41.23
2026-03-16 16:33:34,🚨 FULL BLOCKAGE,61.53,20.32,41.21
2026-03-16 16:33:48,🚨 FULL BLOCKAGE,75.36,20.32,55.04
2026-03-16 16:33:50,🚨 FULL BLOCKAGE,74.17,20.32,53.85
2026-03-16 16:34:48,🚨 FULL BLOCKAGE,59.17,20.25,38.92
2026-03-16 16:44:48,🚨 FULL BLOCKAGE,20.56,24.0,3.4400000000000013
2026-03-16 16:44:51,🚨 FULL BLOCKAGE,20.55,24.0,3.4499999999999993
2026-03-16 16:45:48,🚨 FULL BLOCKAGE,20.31,24.0,3.6900000000000013
