Timestamp,Status,Upstream,Downstream,Difference
2026-03-17 20:29:12,🚨 FULL BLOCKAGE,24.89,20.0,4.890000000000001
2026-03-17 20:29:19,🚨 FULL BLOCKAGE,24.96,20.0,4.960000000000001
2026-03-17 20:29:26,🚨 FULL BLOCKAGE,36.63,20.0,16.630000000000003
2026-03-17 20:30:19,🚨 FULL BLOCKAGE,32.38,20.0,12.380000000000003
2026-03-17 20:30:34,🚨 FULL BLOCKAGE,27.29,20.0,7.289999999999999
2026-03-17 20:31:56,🚨 FULL BLOCKAGE,104.64,20.0,84.64
2026-03-17 20:32:32,🚨 FULL BLOCKAGE,25.6,20.0,5.600000000000001
2026-03-17 20:32:40,🚨 FULL BLOCKAGE,24.72,20.0,4.719999999999999
2026-03-17 20:32:53,🚨 FULL BLOCKAGE,32.08,20.0,12.079999999999998
2026-03-17 20:37:43,🚨 FULL BLOCKAGE,32.08,19.83,12.25
2026-03-17 20:38:43,🚨 FULL BLOCKAGE,32.08,25.84,6.239999999999998
2026-03-17 20:38:46,🚨 FULL BLOCKAGE,32.08,24.48,7.599999999999998
2026-03-17 20:39:16,🚨 FULL BLOCKAGE,32.08,23.52,8.559999999999999
2026-03-17 20:39:22,🚨 FULL BLOCKAGE,32.08,22.58,9.5
